cid,name,minvalue,maxvalue,avgvalue,year,chamber,origin,source,serialid
N00003545,Steven C. LaTourette (R-Ohio),116003,315000,215501,2007,H,Center for Responsive Politics,,512
N00000360,Patrick J. Kennedy (D-RI),116003,315000,215501,2007,H,Center for Responsive Politics,,513
N00003042,Bud Cramer (D-Ala),-383996,814999,215501,2007,H,Center for Responsive Politics,,514
N00001082,Edolphus Towns (D-NY),-288984,714998,213007,2007,H,Center for Responsive Politics,,515
N00004724,Jan Schakowsky (D-Ill),2026,416999,209512,2007,H,Center for Responsive Politics,,516
N00024852,John Cornyn (R-Texas),118006,295000,206503,2007,S,Center for Responsive Politics,,517
N00007918,Norm Dicks (D-Wash),91007,315000,203003,2007,H,Center for Responsive Politics,,518
N00028249,Donna Edwards (D-Md),103007,298000,200503,2007,H,Center for Responsive Politics,,519
N00011971,Dan Lungren (R-Calif),85009,315000,200004,2007,H,Center for Responsive Politics,,520
N00006863,Tom McClintock (R-Calif),103004,295000,199002,2007,H,Center for Responsive Politics,,521
N00000983,Vito Fossella (R-NY),57015,330000,193507,2007,H,Center for Responsive Politics,,522
N00001408,John P. Murtha (D-Pa),86011,292000,189005,2007,H,Center for Responsive Politics,,523
N00001127,Joseph Crowley (D-NY),40014,335999,188006,2007,H,Center for Responsive Politics,,524
N00002012,Wayne T. Gilchrest (R-Md),45018,326000,185509,2007,H,Center for Responsive Politics,,525
N00001746,Chaka Fattah (D-Pa),50002,319998,185000,2007,H,Center for Responsive Politics,,526
N00001110,Anthony D. Weiner (D-NY),23023,345000,184011,2007,H,Center for Responsive Politics,,527
N00013847,John Sullivan (R-Okla),101002,265000,183001,2007,H,Center for Responsive Politics,,528
N00004933,Ray LaHood (R-Ill),-30992,394997,182002,2007,H,Center for Responsive Politics,,529
N00025280,Tim Ryan (D-Ohio),87004,271000,179002,2007,H,Center for Responsive Politics,,530
