cid,name,minvalue,maxvalue,avgvalue,year,chamber,origin,source,serialid
N00004961,John M Shimkus (R-Ill),117009,1149999,633504,2014,H,Center for Responsive Politics,,351
N00033539,Randy Weber (R-Texas),251005,1014999,633002,2014,H,Center for Responsive Politics,,352
N00006789,Grace Napolitano (D-Calif),268006,994999,631502,2014,H,Center for Responsive Politics,,353
N00003535,Sherrod Brown (D-Ohio),382006,880000,631003,2014,S,Center for Responsive Politics,,354
N00031777,Tom Marino (R-Pa),241043,1020035,630539,2014,H,Center for Responsive Politics,,355
N00008046,Barbara Lee (D-Calif),260020,999998,630009,2014,H,Center for Responsive Politics,,356
N00027510,Edwin G Perlmutter (D-Colo),365018,882000,623509,2014,H,Center for Responsive Politics,,357
N00026627,Patrick McHenry (R-NC),244015,995998,620006,2014,H,Center for Responsive Politics,,358
N00024842,Joe Courtney (D-Conn),268030,970000,619015,2014,H,Center for Responsive Politics,,359
N00029662,Bill Posey (R-Fla),182011,1032999,607505,2014,H,Center for Responsive Politics,,360
N00024753,Mike Coffman (R-Colo),353008,845000,599004,2014,H,Center for Responsive Politics,,361
N00036275,John Moolenaar (R-Mich),125079,1067000,596039,2014,H,Center for Responsive Politics,,362
N00034453,Derek Kilmer (D-Wash),215036,968000,591518,2014,H,Center for Responsive Politics,,363
N00029391,Erik Paulsen (R-Minn),234036,940000,587018,2014,H,Center for Responsive Politics,,364
N00026171,Charlie Dent (R-Pa),201043,968000,584521,2014,H,Center for Responsive Politics,,365
N00036097,Ruben Gallego (D-Ariz),117017,1041998,579507,2014,H,Center for Responsive Politics,,366
N00035483,Joni Ernst (R-Iowa),206032,950999,578515,2014,S,Center for Responsive Politics,,367
N00028958,Jason Chaffetz (R-Utah),68013,1069999,569006,2014,H,Center for Responsive Politics,,368
N00035282,Jason Smith (R-Mo),-438971,1570993,566011,2014,H,Center for Responsive Politics,,369
N00035267,Cory Booker (D-NJ),351003,775000,563001,2014,S,Center for Responsive Politics,,370
N00004614,Kevin Cramer (R-ND),252022,832000,542011,2014,H,Center for Responsive Politics,,371
N00024852,John Cornyn (R-Texas),253017,822999,538008,2014,S,Center for Responsive Politics,,372
N00027741,David Loebsack (D-Iowa),262018,807000,534509,2014,H,Center for Responsive Politics,,373
N00005870,Gene Green (D-Texas),295006,750000,522503,2014,H,Center for Responsive Politics,,374
N00002299,Walter B Jones Jr (R-NC),289014,737000,513007,2014,H,Center for Responsive Politics,,375
N00005883,Kevin Brady (R-Texas),214025,786000,500012,2014,H,Center for Responsive Politics,,376
N00001945,Barbara A Mikulski (D-Md),228017,771000,499508,2014,S,Center for Responsive Politics,,377
N00027860,Tammy Duckworth (D-Ill),57051,910999,484025,2014,H,Center for Responsive Politics,,378
N00002408,James E Clyburn (D-SC),211022,741000,476011,2014,H,Center for Responsive Politics,,379
N00031857,Steve Womack (R-Ark),270010,675000,472505,2014,H,Center for Responsive Politics,,380
N00006052,Mac Thornberry (R-Texas),273010,670000,471505,2014,H,Center for Responsive Politics,,381
N00002858,Ileana Ros-Lehtinen (R-Fla),302005,631000,466502,2014,H,Center for Responsive Politics,,382
N00000743,Scott Garrett (R-NJ),250012,676000,463006,2014,H,Center for Responsive Politics,,383
N00013820,Chris Van Hollen (D-Md),226016,690000,458008,2014,H,Center for Responsive Politics,,384
N00031244,Joe Heck (R-Nev),191017,700999,446008,2014,H,Center for Responsive Politics,,385
N00012539,Mark Kirk (R-Ill),207009,675998,441503,2014,S,Center for Responsive Politics,,386
N00027229,Michael G Fitzpatrick (R-Pa),126036,755000,440518,2014,H,Center for Responsive Politics,,387
N00035440,Tom Emmer (R-Minn),130004,749999,440001,2014,H,Center for Responsive Politics,,388
N00006690,Maxine Waters (D-Calif),-4098986,4974997,438005,2014,H,Center for Responsive Politics,,389
N00030957,Scott Desjarlais (R-Tenn),130015,744997,437506,2014,H,Center for Responsive Politics,,390
N00000528,Bernie Sanders (I-Vt),123027,748999,436013,2014,S,Center for Responsive Politics,,391
N00029400,Michelle Lujan Grisham (D-NM),200004,669998,435001,2014,H,Center for Responsive Politics,,392
N00035420,Mike Bost (R-Ill),43019,819999,431509,2014,H,Center for Responsive Politics,,393
N00001127,Joseph Crowley (D-NY),137043,716000,426521,2014,H,Center for Responsive Politics,,394
N00035717,David Jolly (R-Fla),197014,655000,426007,2014,H,Center for Responsive Politics,,395
N00033363,Tom Cotton (R-Ark),163022,674000,418511,2014,S,Center for Responsive Politics,,396
N00004572,John Thune (R-SD),177023,658000,417511,2014,S,Center for Responsive Politics,,397
N00027462,Gus Bilirakis (R-Fla),58046,775000,416523,2014,H,Center for Responsive Politics,,398
N00004367,Tammy Baldwin (D-Wis),266003,565000,415501,2014,S,Center for Responsive Politics,,399
N00025095,John Carter (R-Texas),115003,699999,407501,2014,H,Center for Responsive Politics,,400
N00035451,Alma Adams (D-NC),265002,550000,407501,2014,H,Center for Responsive Politics,,401
N00033932,Chris Stewart (R-Utah),251003,555000,403001,2014,H,Center for Responsive Politics,,402
N00003522,Marcy Kaptur (D-Ohio),186019,616000,401009,2014,H,Center for Responsive Politics,,403
N00033510,Raul Ruiz (D-Calif),65013,724999,395006,2014,H,Center for Responsive Politics,,404
N00033814,Alex Mooney (R-Md),182013,605000,393506,2014,H,Center for Responsive Politics,,405
N00030622,Terri A Sewell (D-Ala),-38982,819998,390508,2014,H,Center for Responsive Politics,,406
N00035527,Bruce Westerman (R-Ark),387216,387216,387216,2014,H,Center for Responsive Politics,,407
N00026885,Dave Reichert (R-Wash),210006,550000,380003,2014,H,Center for Responsive Politics,,408
N00033443,Deb Fischer (R-Neb),-4189993,4949998,380002,2014,S,Center for Responsive Politics,,409
N00007833,Adam Smith (D-Wash),213010,545000,379005,2014,H,Center for Responsive Politics,,410
N00035509,David Young (R-Iowa),250001,500000,375000,2014,H,Center for Responsive Politics,,411
N00030612,Marco Rubio (R-Fla),37012,704999,371005,2014,S,Center for Responsive Politics,,412
N00004436,John Kline (R-Minn),205009,526000,365504,2014,H,Center for Responsive Politics,,413
